,porcentaje,valores_k
0,0.44999999999999996,1
1,0.4125,2
2,0.434375,3
3,0.440625,4
4,0.421875,5
5,0.446875,6
6,0.44375,7
7,0.403125,8
8,0.40312500000000007,9
9,0.41874999999999996,10
10,0.40937500000000004,11
11,0.40625,12
12,0.38125000000000003,13
13,0.38749999999999996,14
14,0.3625,15
15,0.353125,16
16,0.365625,17
17,0.35,18
18,0.34375,19
19,0.3375,20
20,0.334375,21
21,0.328125,22
22,0.34062499999999996,23
23,0.334375,24
24,0.33125000000000004,25
25,0.34062499999999996,26
26,0.34375,27
27,0.328125,28
28,0.334375,29
29,0.334375,30
30,0.3125,31
31,0.30625,32
32,0.290625,33
33,0.296875,34
34,0.290625,35
35,0.284375,36
36,0.28750000000000003,37
37,0.284375,38
38,0.29375,39
39,0.290625,40
40,0.29375,41
41,0.296875,42
42,0.2875,43
43,0.29062499999999997,44
44,0.290625,45
45,0.30625,46
46,0.30625,47
47,0.30625,48
48,0.30000000000000004,49
49,0.296875,50
50,0.3125,51
51,0.303125,52
52,0.303125,53
53,0.303125,54
54,0.3,55
55,0.28437500000000004,56
56,0.30000000000000004,57
57,0.309375,58
58,0.303125,59
59,0.30000000000000004,60
60,0.30625,61
61,0.30625,62
62,0.315625,63
63,0.3125,64
64,0.3125,65
65,0.31875,66
66,0.315625,67
67,0.321875,68
68,0.321875,69
69,0.30625,70
70,0.30625,71
71,0.34375,72
72,0.315625,73
73,0.309375,74
74,0.3125,75
75,0.321875,76
76,0.3125,77
77,0.34375,78
78,0.340625,79
79,0.334375,80
80,0.315625,81
81,0.325,82
82,0.315625,83
83,0.328125,84
84,0.315625,85
85,0.321875,86
86,0.33437500000000003,87
87,0.32187499999999997,88
88,0.3375,89
89,0.315625,90
90,0.321875,91
91,0.32499999999999996,92
92,0.32187499999999997,93
93,0.340625,94
94,0.328125,95
95,0.325,96
96,0.31875,97
97,0.30625,98
98,0.31875,99
99,0.30625,100
100,0.303125,101
101,0.3125,102
102,0.33125000000000004,103
103,0.30624999999999997,104
104,0.3,105
105,0.2875,106
106,0.28125,107
107,0.278125,108
108,0.290625,109
109,0.28437500000000004,110
110,0.290625,111
111,0.28750000000000003,112
112,0.28750000000000003,113
113,0.28125,114
114,0.28750000000000003,115
115,0.290625,116
116,0.3,117
117,0.2875,118
118,0.28125,119
119,0.290625,120
120,0.28125,121
121,0.278125,122
122,0.284375,123
123,0.2625,124
124,0.25625000000000003,125
125,0.25,126
126,0.25625,127
127,0.253125,128
128,0.2625,129
129,0.26875,130
130,0.271875,131
131,0.28125,132
132,0.303125,133
133,0.29375,134
134,0.290625,135
135,0.303125,136
136,0.3125,137
137,0.290625,138
138,0.278125,139
139,0.2875,140
140,0.278125,141
141,0.278125,142
142,0.271875,143
143,0.271875,144
144,0.275,145
145,0.27187500000000003,146
146,0.28125,147
147,0.26875000000000004,148
148,0.28125,149
149,0.275,150
150,0.28437500000000004,151
151,0.28750000000000003,152
152,0.275,153
153,0.290625,154
154,0.275,155
155,0.25625,156
156,0.26875,157
157,0.26875,158
158,0.265625,159
159,0.26875,160
160,0.28125,161
161,0.28125,162
162,0.275,163
163,0.265625,164
164,0.26875000000000004,165
165,0.27187500000000003,166
166,0.26875000000000004,167
167,0.2875,168
168,0.296875,169
169,0.31875,170
170,0.296875,171
171,0.309375,172
172,0.328125,173
173,0.303125,174
174,0.315625,175
175,0.325,176
176,0.3125,177
177,0.31875,178
178,0.296875,179
179,0.3125,180
180,0.328125,181
181,0.31875,182
182,0.321875,183
183,0.334375,184
184,0.328125,185
185,0.321875,186
186,0.3125,187
187,0.315625,188
188,0.328125,189
189,0.33125000000000004,190
190,0.328125,191
191,0.328125,192
192,0.31875,193
193,0.30625,194
194,0.3125,195
195,0.29375,196
196,0.2875,197
197,0.284375,198
198,0.278125,199
199,0.284375,200
200,0.290625,201
201,0.303125,202
202,0.303125,203
203,0.28125,204
204,0.265625,205
205,0.2625,206
206,0.253125,207
207,0.259375,208
208,0.2625,209
209,0.27812499999999996,210
210,0.28125,211
211,0.3125,212
212,0.28125,213
213,0.271875,214
214,0.271875,215
215,0.28125,216
216,0.296875,217
217,0.309375,218
218,0.3125,219
219,0.321875,220
220,0.309375,221
221,0.309375,222
222,0.30625,223
223,0.315625,224
224,0.340625,225
225,0.346875,226
226,0.27812499999999996,227
227,0.24999999999999997,228
228,0.25937499999999997,229
229,0.284375,230
230,0.29374999999999996,231
231,0.29374999999999996,232
232,0.26875,233
233,0.25,234
234,0.25,235
235,0.246875,236
236,0.25,237
237,0.25,238
238,0.253125,239
239,0.25,240
240,0.25,241
241,0.25,242
242,0.25,243
243,0.25,244
244,0.25,245
245,0.25,246
246,0.25,247
247,0.25,248
248,0.25,249
249,0.25,250
250,0.25,251
251,0.25,252
252,0.25,253
253,0.25,254
254,0.25,255
255,0.25,256
256,0.25,257
257,0.25,258
258,0.25,259
259,0.25,260
260,0.25,261
261,0.25,262
262,0.25,263
263,0.25,264
264,0.25,265
265,0.25,266
266,0.25,267
267,0.25,268
268,0.25,269
269,0.25,270
270,0.25,271
271,0.25,272
272,0.25,273
273,0.25,274
274,0.25,275
275,0.25,276
276,0.25,277
277,0.25,278
278,0.25,279
279,0.25,280
280,0.25,281
281,0.25,282
282,0.25,283
283,0.25,284
284,0.25,285
285,0.25,286
286,0.25,287
287,0.25,288
288,0.25,289
289,0.25,290
290,0.25,291
291,0.25,292
292,0.25,293
293,0.25,294
294,0.25,295
295,0.25,296
296,0.25,297
297,0.25,298
298,0.25,299
299,0.25,300
300,0.25,301
301,0.25,302
302,0.25,303
303,0.25,304
304,0.25,305
305,0.25,306
306,0.25,307
307,0.25,308
308,0.25,309
309,0.25,310
310,0.25,311
311,0.25,312
312,0.25,313
313,0.25,314
314,0.25,315
315,0.25,316
316,0.25,317
317,0.25,318
318,0.25,319
319,0.25,320
