,porcentaje,valores_k
0,0.490625,1
1,0.46562499999999996,2
2,0.465625,3
3,0.509375,4
4,0.484375,5
5,0.48124999999999996,6
6,0.503125,7
7,0.475,8
8,0.484375,9
9,0.440625,10
10,0.453125,11
11,0.4375,12
12,0.434375,13
13,0.43437499999999996,14
14,0.4125,15
15,0.43437499999999996,16
16,0.40937500000000004,17
17,0.41874999999999996,18
18,0.4125,19
19,0.409375,20
20,0.40937500000000004,21
21,0.421875,22
22,0.440625,23
23,0.42500000000000004,24
24,0.4375,25
25,0.428125,26
26,0.415625,27
27,0.43124999999999997,28
28,0.41250000000000003,29
29,0.403125,30
30,0.403125,31
31,0.434375,32
32,0.403125,33
33,0.409375,34
34,0.403125,35
35,0.39375,36
36,0.38749999999999996,37
37,0.375,38
38,0.37187499999999996,39
39,0.375,40
40,0.378125,41
41,0.39062500000000006,42
42,0.371875,43
43,0.384375,44
44,0.36875,45
45,0.37812499999999993,46
46,0.384375,47
47,0.384375,48
48,0.37187499999999996,49
49,0.365625,50
50,0.36875,51
51,0.359375,52
52,0.365625,53
53,0.36875,54
54,0.37187500000000007,55
55,0.38125,56
56,0.36875,57
57,0.38125000000000003,58
58,0.378125,59
59,0.38749999999999996,60
60,0.40624999999999994,61
61,0.4125,62
62,0.4,63
63,0.403125,64
64,0.396875,65
65,0.390625,66
66,0.403125,67
67,0.40312499999999996,68
68,0.390625,69
69,0.40624999999999994,70
70,0.39375,71
71,0.378125,72
72,0.39375000000000004,73
73,0.4,74
74,0.409375,75
75,0.396875,76
76,0.384375,77
77,0.39375000000000004,78
78,0.384375,79
79,0.36875,80
80,0.375,81
81,0.3625,82
82,0.36874999999999997,83
83,0.359375,84
84,0.36562500000000003,85
85,0.375,86
86,0.36875,87
87,0.35624999999999996,88
88,0.35,89
89,0.35625,90
90,0.36250000000000004,91
91,0.35625,92
92,0.35,93
93,0.36875,94
94,0.371875,95
95,0.346875,96
96,0.353125,97
97,0.34062499999999996,98
98,0.34687499999999993,99
99,0.334375,100
100,0.33749999999999997,101
101,0.328125,102
102,0.334375,103
103,0.325,104
104,0.315625,105
105,0.32812500000000006,106
106,0.328125,107
107,0.328125,108
108,0.30625,109
109,0.30625,110
110,0.29374999999999996,111
111,0.30937499999999996,112
112,0.296875,113
113,0.290625,114
114,0.28125,115
115,0.2875,116
116,0.290625,117
117,0.2875,118
118,0.2875,119
119,0.290625,120
120,0.29374999999999996,121
121,0.30000000000000004,122
122,0.2875,123
123,0.30625,124
124,0.30625,125
125,0.290625,126
126,0.3,127
127,0.29375,128
128,0.30000000000000004,129
129,0.3,130
130,0.31562500000000004,131
131,0.321875,132
132,0.334375,133
133,0.321875,134
134,0.3125,135
135,0.3125,136
136,0.315625,137
137,0.321875,138
138,0.328125,139
139,0.346875,140
140,0.340625,141
141,0.34375,142
142,0.3375,143
143,0.328125,144
144,0.34062499999999996,145
145,0.33749999999999997,146
146,0.340625,147
147,0.3375,148
148,0.325,149
149,0.3375,150
150,0.3375,151
151,0.34375,152
152,0.33749999999999997,153
153,0.334375,154
154,0.34062499999999996,155
155,0.328125,156
156,0.334375,157
157,0.33437500000000003,158
158,0.340625,159
159,0.34375,160
160,0.33125,161
161,0.3125,162
162,0.296875,163
163,0.3,164
164,0.29374999999999996,165
165,0.321875,166
166,0.321875,167
167,0.328125,168
168,0.325,169
169,0.3125,170
170,0.3125,171
171,0.328125,172
172,0.325,173
173,0.30625,174
174,0.328125,175
175,0.3125,176
176,0.296875,177
177,0.2875,178
178,0.29374999999999996,179
179,0.2875,180
180,0.29374999999999996,181
181,0.2875,182
182,0.2875,183
183,0.275,184
184,0.28125,185
185,0.28125,186
186,0.28125,187
187,0.275,188
188,0.28437500000000004,189
189,0.296875,190
190,0.30000000000000004,191
191,0.315625,192
192,0.334375,193
193,0.32187499999999997,194
194,0.31875,195
195,0.315625,196
196,0.334375,197
197,0.328125,198
198,0.3375,199
199,0.328125,200
200,0.3375,201
201,0.325,202
202,0.334375,203
203,0.3125,204
204,0.2875,205
205,0.2875,206
206,0.284375,207
207,0.30625,208
208,0.278125,209
209,0.271875,210
210,0.25,211
211,0.25,212
212,0.271875,213
213,0.25625,214
214,0.25625,215
215,0.278125,216
216,0.30625,217
217,0.303125,218
218,0.28125,219
219,0.271875,220
220,0.28125,221
221,0.284375,222
222,0.290625,223
223,0.30625,224
224,0.309375,225
225,0.3125,226
226,0.315625,227
227,0.3125,228
228,0.303125,229
229,0.275,230
230,0.26249999999999996,231
231,0.265625,232
232,0.284375,233
233,0.25,234
234,0.253125,235
235,0.24375,236
236,0.25,237
237,0.25,238
238,0.25,239
239,0.25,240
240,0.25,241
241,0.25,242
242,0.25,243
243,0.25,244
244,0.25,245
245,0.25,246
246,0.25,247
247,0.25,248
248,0.25,249
249,0.25,250
250,0.25,251
251,0.25,252
252,0.25,253
253,0.25,254
254,0.25,255
255,0.25,256
256,0.25,257
257,0.25,258
258,0.25,259
259,0.25,260
260,0.25,261
261,0.25,262
262,0.25,263
263,0.25,264
264,0.25,265
265,0.25,266
266,0.25,267
267,0.25,268
268,0.25,269
269,0.25,270
270,0.25,271
271,0.25,272
272,0.25,273
273,0.25,274
274,0.25,275
275,0.25,276
276,0.25,277
277,0.25,278
278,0.25,279
279,0.25,280
280,0.25,281
281,0.25,282
282,0.25,283
283,0.25,284
284,0.25,285
285,0.25,286
286,0.25,287
287,0.25,288
288,0.25,289
289,0.25,290
290,0.25,291
291,0.25,292
292,0.25,293
293,0.25,294
294,0.25,295
295,0.25,296
296,0.25,297
297,0.25,298
298,0.25,299
299,0.25,300
300,0.25,301
301,0.25,302
302,0.25,303
303,0.25,304
304,0.25,305
305,0.25,306
306,0.25,307
307,0.25,308
308,0.25,309
309,0.25,310
310,0.25,311
311,0.25,312
312,0.25,313
313,0.25,314
314,0.25,315
315,0.25,316
316,0.25,317
317,0.25,318
318,0.25,319
319,0.25,320
