,porcentaje,valores_k
0,0.634375,1
1,0.6437499999999999,2
2,0.7,3
3,0.746875,4
4,0.721875,5
5,0.734375,6
6,0.725,7
7,0.7406250000000001,8
8,0.728125,9
9,0.75625,10
10,0.740625,11
11,0.7468750000000001,12
12,0.740625,13
13,0.7468750000000001,14
14,0.740625,15
15,0.75,16
16,0.75,17
17,0.753125,18
18,0.75,19
19,0.7374999999999999,20
20,0.7406250000000001,21
21,0.740625,22
22,0.734375,23
23,0.734375,24
24,0.7343749999999999,25
25,0.7375,26
26,0.734375,27
27,0.746875,28
28,0.7593749999999999,29
29,0.7593749999999999,30
30,0.753125,31
31,0.75,32
32,0.75,33
33,0.74375,34
34,0.75,35
35,0.7437499999999999,36
36,0.75,37
37,0.75,38
38,0.7437499999999999,39
39,0.7375,40
40,0.7406250000000001,41
41,0.75,42
42,0.73125,43
43,0.7375,44
44,0.7343750000000001,45
45,0.7312500000000001,46
46,0.7250000000000001,47
47,0.725,48
48,0.725,49
49,0.728125,50
50,0.7343750000000001,51
51,0.7312500000000001,52
52,0.725,53
53,0.721875,54
54,0.7281250000000001,55
55,0.709375,56
56,0.7062499999999999,57
57,0.70625,58
58,0.7,59
59,0.696875,60
60,0.709375,61
61,0.7093750000000001,62
62,0.7062499999999999,63
63,0.71875,64
64,0.709375,65
65,0.709375,66
66,0.703125,67
67,0.71875,68
68,0.725,69
69,0.725,70
70,0.71875,71
71,0.71875,72
72,0.71875,73
73,0.7125,74
74,0.7125000000000001,75
75,0.7093750000000001,76
76,0.7124999999999999,77
77,0.70625,78
78,0.7124999999999999,79
79,0.715625,80
80,0.71875,81
81,0.7218749999999999,82
82,0.725,83
83,0.7187500000000001,84
84,0.7125000000000001,85
85,0.70625,86
86,0.7,87
87,0.7000000000000001,88
88,0.7000000000000001,89
89,0.703125,90
90,0.703125,91
91,0.715625,92
92,0.7,93
93,0.70625,94
94,0.70625,95
95,0.709375,96
96,0.70625,97
97,0.7,98
98,0.6968749999999999,99
99,0.6875,100
100,0.690625,101
101,0.6875,102
102,0.6843750000000001,103
103,0.6874999999999999,104
104,0.68125,105
105,0.671875,106
106,0.671875,107
107,0.678125,108
108,0.6812499999999999,109
109,0.6875,110
110,0.690625,111
111,0.690625,112
112,0.684375,113
113,0.684375,114
114,0.69375,115
115,0.6875,116
116,0.6843750000000001,117
117,0.678125,118
118,0.684375,119
119,0.7000000000000001,120
120,0.6875,121
121,0.6937500000000001,122
122,0.6781250000000001,123
123,0.675,124
124,0.665625,125
125,0.675,126
126,0.6625,127
127,0.6593749999999999,128
128,0.659375,129
129,0.6625000000000001,130
130,0.65,131
131,0.65,132
132,0.65625,133
133,0.65,134
134,0.646875,135
135,0.640625,136
136,0.628125,137
137,0.6312500000000001,138
138,0.615625,139
139,0.615625,140
140,0.615625,141
141,0.615625,142
142,0.609375,143
143,0.6125,144
144,0.61875,145
145,0.6156250000000001,146
146,0.6156250000000001,147
147,0.603125,148
148,0.6062500000000001,149
149,0.6,150
150,0.603125,151
151,0.6,152
152,0.5874999999999999,153
153,0.59375,154
154,0.596875,155
155,0.596875,156
156,0.58125,157
157,0.590625,158
158,0.59375,159
159,0.5875,160
160,0.575,161
161,0.578125,162
162,0.571875,163
163,0.58125,164
164,0.5750000000000001,165
165,0.571875,166
166,0.5718749999999999,167
167,0.553125,168
168,0.546875,169
169,0.5406249999999999,170
170,0.54375,171
171,0.540625,172
172,0.53125,173
173,0.53125,174
174,0.5406249999999999,175
175,0.5375000000000001,176
176,0.53125,177
177,0.534375,178
178,0.525,179
179,0.521875,180
180,0.51875,181
181,0.5125,182
182,0.51875,183
183,0.53125,184
184,0.53125,185
185,0.5249999999999999,186
186,0.521875,187
187,0.51875,188
188,0.5093749999999999,189
189,0.509375,190
190,0.50625,191
191,0.5093749999999999,192
192,0.5062500000000001,193
193,0.503125,194
194,0.490625,195
195,0.484375,196
196,0.484375,197
197,0.484375,198
198,0.484375,199
199,0.484375,200
200,0.46874999999999994,201
201,0.46249999999999997,202
202,0.459375,203
203,0.45,204
204,0.45312499999999994,205
205,0.45625000000000004,206
206,0.44687499999999997,207
207,0.44687499999999997,208
208,0.4375,209
209,0.434375,210
210,0.4375,211
211,0.4375,212
212,0.428125,213
213,0.421875,214
214,0.4125,215
215,0.403125,216
216,0.384375,217
217,0.384375,218
218,0.365625,219
219,0.38125,220
220,0.38125,221
221,0.390625,222
222,0.384375,223
223,0.38125,224
224,0.38125,225
225,0.38125,226
226,0.36875,227
227,0.35625000000000007,228
228,0.359375,229
229,0.34375000000000006,230
230,0.36250000000000004,231
231,0.346875,232
232,0.35000000000000003,233
233,0.359375,234
234,0.37187500000000007,235
235,0.35000000000000003,236
236,0.3125,237
237,0.29375,238
238,0.240625,239
239,0.25,240
240,0.25,241
241,0.25,242
242,0.25,243
243,0.25,244
244,0.25,245
245,0.25,246
246,0.25,247
247,0.25,248
248,0.25,249
249,0.25,250
250,0.25,251
251,0.25,252
252,0.25,253
253,0.25,254
254,0.25,255
255,0.25,256
256,0.25,257
257,0.25,258
258,0.25,259
259,0.25,260
260,0.25,261
261,0.25,262
262,0.25,263
263,0.25,264
264,0.25,265
265,0.25,266
266,0.25,267
267,0.25,268
268,0.25,269
269,0.25,270
270,0.25,271
271,0.25,272
272,0.25,273
273,0.25,274
274,0.25,275
275,0.25,276
276,0.25,277
277,0.25,278
278,0.25,279
279,0.25,280
