,error1,error2,error3,error4,error5,std1,std2,std3,std4,std5,convergencia1,convergencia2,convergencia3,convergencia4,convergencia5,eps
0,3.447594754250593e-05,3.445199263061923e-05,2.5772570127306966e-06,2.7553489405234094e-06,3.0236654504690667e-06,1.1578834991469405e-05,1.1746693311220135e-05,1.0816247848031133e-06,1.4636251462303157e-06,1.7447038927129952e-06,10000.0,24.45,17.2,21.1,2.0,0.0001
1,5.6815629461654896e-05,5.693032137594964e-05,2.622640921536538e-06,2.755341217851941e-06,3.0236554111221185e-06,1.871594658763226e-05,1.8593699799917616e-05,1.1290188176055264e-06,1.4636209658653835e-06,1.7446946898389026e-06,10000.0,24.45,17.2,21.1,2.0,0.0001623776739188721
2,9.541100900471639e-05,9.538146157465407e-05,2.6056193117501683e-06,2.7553286782921296e-06,3.0236391096163736e-06,2.9272628126060364e-05,2.9276991282214695e-05,1.0758992086630733e-06,1.4636141779818244e-06,1.7446797464733364e-06,10000.0,24.45,17.2,21.1,2.0,0.00026366508987303583
3,0.00016223489394733104,0.000162234748731016,2.5561851162003817e-06,2.7553083168308514e-06,3.0236126397613873e-06,4.487457376754951e-05,4.4872463955696324e-05,1.097214701754736e-06,1.4636031560904983e-06,1.7446554819737908e-06,10000.0,24.6,17.2,21.1,2.0,0.00042813323987193956
4,0.00027680140996959237,0.0002767858359719334,2.6035744180205898e-06,2.755275254732393e-06,3.0235696590226695e-06,6.819864358351755e-05,6.82070984616238e-05,1.0767022232545411e-06,1.4635852601338852e-06,1.7446160826546405e-06,10000.0,24.55,17.2,21.1,2.0,0.0006951927961775605
5,0.0004514072966546751,0.00045141290534438843,2.4525331894863475e-06,2.7552215699564447e-06,3.023499868402462e-06,0.00011713172540721098,0.00011712870017842138,8.917757959090749e-07,1.4635562031950612e-06,1.7445521083312965e-06,10000.0,25.0,17.2,21.1,2.05,0.0011288378916846883
6,0.0006006227508382389,0.0006006666727666261,2.461481782129529e-06,2.755134399701657e-06,3.0233865461854547e-06,0.0002413938222261003,0.00024139669197288164,9.160108536789592e-07,1.4635090272191512e-06,1.7444482327751303e-06,10000.0,24.85,17.2,21.1,2.15,0.0018329807108324356
7,0.0004476659546348512,0.00044778664726790023,2.562299575402079e-06,2.754992860024212e-06,3.023202541872058e-06,0.00029931630487937445,0.00029936859280710445,1.044857381213886e-06,1.4634324396164014e-06,1.7442795737040528e-06,10000.0,24.95,17.2,21.1,2.15,0.002976351441631319
8,0.00012239858157304492,0.00012241777505809829,2.5480611738837627e-06,2.7547630444455385e-06,3.022903774761331e-06,9.187836052031212e-05,9.192310222124756e-05,1.0490320440856952e-06,1.4633081196097089e-06,1.7440057393723755e-06,10000.0,25.05,17.2,21.1,2.0,0.004832930238571752
9,1.0826064372476497e-05,1.0720177085745504e-05,2.54712743315784e-06,2.7543899112800276e-06,3.0224186823869474e-06,7.0327449222350285e-06,7.055775433936658e-06,1.0484021375350449e-06,1.463106360705096e-06,1.7435611737973246e-06,10000.0,25.0,17.2,21.1,2.0,0.007847599703514606
10,3.8054608490860712e-06,4.5496122177086085e-06,2.5456115616057884e-06,2.753784120359051e-06,3.021631103004858e-06,1.1710793391642124e-06,1.186877368298336e-06,1.0473796965939257e-06,1.4627790363738704e-06,1.742839510458177e-06,7924.9,25.0,17.2,21.1,2.0,0.012742749857031334
11,3.384644291543887e-06,3.6275200750059996e-06,2.543150956116124e-06,2.7528006996873014e-06,3.020352519826984e-06,1.156678821121506e-06,1.2457008679141462e-06,1.045720503238573e-06,1.4622482925588012e-06,1.741668249070709e-06,5113.35,25.0,17.2,21.1,2.0,0.0206913808111479
12,3.3324816894148185e-06,3.81996261174446e-06,2.5858828700559317e-06,2.7512045007459123e-06,3.018277099551768e-06,1.2780247715983276e-06,1.2179605486404825e-06,1.0878130044488298e-06,1.4613884832111384e-06,1.7397678591214027e-06,3291.5,25.0,17.2,21.1,2.0,0.03359818286283781
